address,area,direction,floornumber,furniture,numBath,numBed,numFloor,price,price_m2,type,type_detail,url
"Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",75.0,,,,,2,1,2.05,0.02733,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/89690318.htm
"Khu đô thị Nam Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội",81.6,Tây Nam,21,Nội thất cao cấp,2,2,1,1.6,0.01975,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89690496.htm
"Trần Văn Đáng, Phường Đức Giang, Quận Long Biên, Hà Nội",80.0,,,,2,3,1,2.4,0.03,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/89696515.htm
"Lô CT-21B, Lô CT-21B Khu đô thị mới Việt Hưng, Phường Giang Biên, Quận Long Biên, Hà Nội",86.0,,6,,2,3,1,2.5,0.02907,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/89696644.htm
"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",86.0,,,,2,2,1,2.1,0.02442,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/88320316.htm
"Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",54.0,,15,,2,2,1,1.7,0.03148,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/86403200.htm
"Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",103.0,,,Nội thất cao cấp,3,3,1,7.4,0.07184,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-can-ho-chung-cu/88822343.htm
"Đường Lê Đức Thọ, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",62.0,Đông Nam,,Nội thất đầy đủ,1,2,1,1.75,0.02823,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89702024.htm
"ngã tư sở, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",43.0,Đông Nam,,Nội thất đầy đủ,1,2,1,1.1,0.02558,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/89654802.htm
"279 Hoàng Mai, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",118.0,Tây Bắc,19,Nội thất đầy đủ,2,4,1,4.174,0.03537,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-can-ho-chung-cu/89654859.htm
"đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",68.0,Đông Nam,15,Hoàn thiện cơ bản,2,2,1,3.5,0.05147,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/89654881.htm
"Đường Đa Tốn, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",80.0,,,Nội thất đầy đủ,2,3,1,0.222,0.00278,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/huyen-gia-lam/mua-ban-can-ho-chung-cu/89655111.htm
"Khu đô thị Nam Thăng Long, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",106.0,Đông,,Nội thất đầy đủ,2,3,1,0.015,141.509 đ/m²,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-can-ho-chung-cu/88496744.htm
